outcome,parameter,baseline_rho,baseline_pval,equalised_rho,equalised_pval,delta_rho
success_rate,delta_US,0.1882,0.0076,0.0814,0.2517,-0.1068
success_rate,delta_EU,0.0825,0.2455,0.0358,0.6145,-0.046700000000000005
success_rate,delta_CN,0.174,0.0137,0.1763,0.0125,0.0023000000000000242
success_rate,delta_RoW,0.1354,0.0559,0.1939,0.0059,0.058499999999999996
success_rate,cost_US,-0.2344,0.0008,-0.1889,0.0074,0.045499999999999985
success_rate,cost_EU,-0.1068,0.1324,-0.0475,0.504,0.059300000000000005
success_rate,cost_CN,-0.1498,0.0343,-0.2383,0.0007,-0.08850000000000002
success_rate,cost_RoW,-0.1942,0.0059,-0.1196,0.0917,0.07460000000000001
success_rate,pressure_US,-0.0295,0.6782,0.0015,0.983,0.031
success_rate,pressure_EU,0.0573,0.4205,-0.0005,0.9941,-0.0578
success_rate,pressure_CN,0.0046,0.9487,-0.0368,0.6046,-0.0414
success_rate,pressure_RoW,0.0476,0.503,0.1208,0.0885,0.0732
success_rate,lam_US,0.1377,0.0519,0.2161,0.0021,0.0784
success_rate,lam_EU,0.0741,0.2972,-0.0078,0.9129,-0.0819
success_rate,lam_CN,0.022,0.7569,0.055,0.439,0.033
success_rate,lam_RoW,0.1008,0.1556,-0.0539,0.4488,-0.1547
success_rate,theta,-0.3642,0.0,-0.2178,0.002,0.14640000000000003
success_rate,gamma,0.0748,0.2926,0.0027,0.9696,-0.07210000000000001
success_rate,eta,0.2669,0.0001,0.1598,0.0238,-0.10710000000000003
success_rate,kappa,0.174,0.0137,0.0965,0.1742,-0.07749999999999999
mean_coord_time,delta_US,-0.3151,0.0,-0.2296,0.0012,0.08549999999999999
mean_coord_time,delta_EU,-0.1488,0.0536,-0.0479,0.5051,0.10089999999999999
mean_coord_time,delta_CN,-0.328,0.0,-0.3138,0.0,0.01419999999999999
mean_coord_time,delta_RoW,-0.0965,0.2121,-0.0436,0.5438,0.0529
mean_coord_time,cost_US,0.3033,0.0001,0.3159,0.0,0.0126
mean_coord_time,cost_EU,0.0323,0.6767,0.0174,0.8086,-0.014900000000000004
mean_coord_time,cost_CN,0.1199,0.1205,0.2555,0.0003,0.1356
mean_coord_time,cost_RoW,0.0381,0.6224,0.0891,0.214,0.051
mean_coord_time,pressure_US,0.0752,0.3314,-0.0491,0.4941,-0.1243
mean_coord_time,pressure_EU,-0.0548,0.4791,-0.0888,0.2158,-0.034
mean_coord_time,pressure_CN,-0.0088,0.9095,-0.0631,0.3792,-0.0543
mean_coord_time,pressure_RoW,-0.1004,0.194,-0.1709,0.0166,-0.0705
mean_coord_time,lam_US,-0.1959,0.0107,-0.2373,0.0008,-0.04140000000000002
mean_coord_time,lam_EU,-0.1664,0.0306,-0.1668,0.0195,-0.00040000000000001146
mean_coord_time,lam_CN,-0.1313,0.0889,-0.0739,0.3032,0.05740000000000001
mean_coord_time,lam_RoW,-0.0911,0.2388,-0.0645,0.3688,0.0266
mean_coord_time,theta,0.4173,0.0,0.5212,0.0,0.10389999999999999
mean_coord_time,gamma,0.0834,0.2812,0.1064,0.1379,0.022999999999999993
mean_coord_time,eta,-0.1251,0.105,-0.1125,0.1166,0.012599999999999986
mean_coord_time,kappa,0.0601,0.4375,-0.0039,0.9571,-0.064
fm_EU,delta_US,0.0354,0.6184,-0.099,0.163,-0.13440000000000002
fm_EU,delta_EU,0.294,0.0,0.2603,0.0002,-0.03370000000000001
fm_EU,delta_CN,0.0737,0.2998,0.0381,0.5924,-0.0356
fm_EU,delta_RoW,0.0672,0.3447,0.0206,0.7723,-0.046599999999999996
fm_EU,cost_US,0.0138,0.8461,0.0081,0.9095,-0.0057
fm_EU,cost_EU,-0.3989,0.0,-0.443,0.0,-0.04410000000000003
fm_EU,cost_CN,0.0045,0.9496,-0.0251,0.7241,-0.0296
fm_EU,cost_RoW,-0.1378,0.0517,-0.0665,0.3496,0.0713
fm_EU,pressure_US,0.0713,0.3155,-0.0013,0.9856,-0.0726
fm_EU,pressure_EU,0.0503,0.4792,0.0172,0.8089,-0.0331
fm_EU,pressure_CN,-0.0755,0.2879,0.0416,0.5585,0.1171
fm_EU,pressure_RoW,0.0869,0.2213,0.1155,0.1033,0.0286
fm_EU,lam_US,-0.0833,0.2406,-0.1601,0.0235,-0.0768
fm_EU,lam_EU,-0.2278,0.0012,-0.1016,0.1524,0.1262
fm_EU,lam_CN,-0.0623,0.3804,-0.0086,0.9037,0.0537
fm_EU,lam_RoW,0.0078,0.9127,-0.0669,0.3469,-0.0747
fm_EU,theta,-0.2229,0.0015,-0.0563,0.4287,0.16659999999999997
fm_EU,gamma,0.0562,0.4289,-0.0451,0.5257,-0.1013
fm_EU,eta,0.0097,0.892,0.0082,0.9081,-0.0014999999999999996
fm_EU,kappa,0.0804,0.2576,-0.0198,0.7812,-0.1002
fm_US,delta_US,0.4274,0.0,0.4969,0.0,0.0695
fm_US,delta_EU,0.0364,0.6088,-0.0898,0.2063,-0.1262
fm_US,delta_CN,0.1267,0.0737,-0.0403,0.5707,-0.167
fm_US,delta_RoW,0.0403,0.5709,0.0201,0.7778,-0.020200000000000003
fm_US,cost_US,-0.4968,0.0,-0.6051,0.0,-0.10829999999999995
fm_US,cost_EU,0.034,0.6325,0.0472,0.5072,0.013199999999999996
fm_US,cost_CN,-0.086,0.226,-0.0053,0.9404,0.0807
fm_US,cost_RoW,0.0394,0.5799,0.0381,0.5922,-0.0012999999999999956
fm_US,pressure_US,-0.0248,0.7275,0.0268,0.7068,0.0516
fm_US,pressure_EU,0.0363,0.6095,0.0669,0.3463,0.030600000000000002
fm_US,pressure_CN,0.0192,0.7876,-0.0071,0.9211,-0.026299999999999997
fm_US,pressure_RoW,0.0255,0.7195,0.085,0.2313,0.05950000000000001
fm_US,lam_US,-0.0706,0.3205,-0.0115,0.8711,0.0591
fm_US,lam_EU,-0.0008,0.9908,-0.0006,0.9929,0.0002000000000000001
fm_US,lam_CN,0.0443,0.533,-0.0402,0.5723,-0.08449999999999999
fm_US,lam_RoW,-0.0036,0.9597,-0.0009,0.9903,0.0027
fm_US,theta,-0.3349,0.0,-0.2179,0.0019,0.11699999999999997
fm_US,gamma,-0.03,0.6729,-0.1797,0.0109,-0.1497
fm_US,eta,0.0649,0.3611,0.0543,0.4454,-0.010599999999999998
fm_US,kappa,-0.0076,0.9151,-0.021,0.7675,-0.013400000000000002
fm_CN,delta_US,0.0991,0.1625,-0.0799,0.2606,-0.179
fm_CN,delta_EU,0.0017,0.9805,-0.0367,0.6063,-0.038400000000000004
fm_CN,delta_CN,0.484,0.0,0.4845,0.0,0.0005000000000000004
fm_CN,delta_RoW,0.091,0.2,0.0536,0.4513,-0.037399999999999996
fm_CN,cost_US,-0.0392,0.5815,0.0071,0.9201,0.0463
fm_CN,cost_EU,0.0387,0.5861,0.0379,0.5941,-0.0007999999999999952
fm_CN,cost_CN,-0.3666,0.0,-0.5037,0.0,-0.13710000000000006
fm_CN,cost_RoW,-0.1461,0.0389,-0.0421,0.5538,0.10400000000000001
fm_CN,pressure_US,0.0484,0.4958,-0.0016,0.9818,-0.049999999999999996
fm_CN,pressure_EU,0.0186,0.7939,-0.0645,0.3645,-0.08310000000000001
fm_CN,pressure_CN,-0.1461,0.0389,-0.0982,0.1665,0.04790000000000001
fm_CN,pressure_RoW,0.0677,0.3407,0.0501,0.4815,-0.017599999999999998
fm_CN,lam_US,-0.0315,0.6574,-0.029,0.684,0.0024999999999999988
fm_CN,lam_EU,0.0032,0.9647,-0.1026,0.1481,-0.10579999999999999
fm_CN,lam_CN,-0.2469,0.0004,-0.1333,0.0599,0.1136
fm_CN,lam_RoW,-0.0342,0.6304,-0.0261,0.7136,0.0081
fm_CN,theta,-0.3516,0.0,-0.2025,0.004,0.1491
fm_CN,gamma,0.0392,0.5811,-0.0166,0.816,-0.0558
fm_CN,eta,0.0436,0.5395,0.0374,0.5992,-0.006199999999999997
fm_CN,kappa,0.087,0.2208,0.0552,0.4378,-0.031799999999999995
